GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
0022400627,1610612764,WAS,Washington,1626158,Richaun Holmes,Richaun,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022400627,1610612762,UTA,Utah,1642262,Cody Williams,Cody,F,,28.000000:16,0.117,0.032,0.135,0.0,0.2,0.0,0.0,0.0,0.053,0.04,0.053,0.083,0.167,0.0,0.0,0.273,0.0,0.027
0022400627,1610612762,UTA,Utah,1642271,Kyle Filipowski,Kyle,F,,21.000000:26,0.282,0.32,0.244,0.444,0.25,0.5,0.8,0.167,0.188,0.182,0.118,0.333,0.0,0.0,0.0,0.375,0.5,0.344
0022400627,1610612762,UTA,Utah,1631117,Walker Kessler,Walker,C,,15.000000:15,0.214,0.2,0.286,0.143,0.353,0.0,0.0,0.667,0.273,0.357,0.2,0.0,0.333,1.0,0.5,0.429,0.0,0.175
0022400627,1610612762,UTA,Utah,1629012,Collin Sexton,Collin,G,,19.000000:01,0.275,0.318,0.216,0.222,0.105,0.667,0.8,0.333,0.143,0.176,0.357,0.375,0.0,0.0,0.0,0.333,0.5,0.321
0022400627,1610612762,UTA,Utah,1642268,Isaiah Collier,Isaiah,G,,27.000000:44,0.169,0.226,0.185,0.2,0.111,0.0,0.0,0.167,0.1,0.115,0.333,0.125,0.571,0.0,0.667,0.091,0.0,0.216
0022400627,1610612762,UTA,Utah,1631131,Oscar Tshiebwe,Oscar,,,18.000000:29,0.118,0.053,0.094,0.0,0.0,0.333,0.2,1.0,0.615,0.667,0.25,0.167,0.0,0.0,1.0,0.0,0.429,0.082
0022400627,1610612762,UTA,Utah,1630695,Micah Potter,Micah,,,15.000000:25,0.057,0.0,0.036,0.0,0.083,0.0,0.0,0.333,0.222,0.25,0.2,0.25,0.5,0.0,0.0,0.25,0.0,0.0
0022400627,1610612762,UTA,Utah,1641718,Keyonte George,Keyonte,,,29.000000:09,0.222,0.241,0.226,0.333,0.208,0.375,0.308,0.0,0.211,0.16,0.25,0.222,0.0,0.0,0.0,0.2,0.333,0.267
0022400627,1610612762,UTA,Utah,203903,Jordan Clarkson,Jordan,,,20.000000:16,0.348,0.263,0.314,0.143,0.267,0.333,0.364,0.0,0.231,0.188,0.333,0.556,0.0,0.0,0.0,0.0,0.375,0.259
0022400627,1610612762,UTA,Utah,1641729,Brice Sensabaugh,Brice,,,22.000000:42,0.208,0.292,0.256,0.375,0.333,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.167,0.0,0.266
0022400627,1610612762,UTA,Utah,1630548,Johnny Juzang,Johnny,,,22.000000:17,0.136,0.2,0.184,0.143,0.235,0.0,0.0,0.25,0.333,0.316,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.17
0022400627,1610612762,UTA,Utah,1641989,Elijah Harkless,Elijah,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022401198,1610612746,LAC,LA,1626181,Norman Powell,Norman,F,,43.000000:52,0.176,0.093,0.176,0.077,0.231,0.2,0.154,0.0,0.069,0.056,0.0,0.182,0.1,0.0,0.5,0.267,0.222,0.101
0022401198,1610612746,LAC,LA,202695,Kawhi Leonard,Kawhi,F,,47.000000:25,0.281,0.277,0.26,0.286,0.333,0.231,0.313,0.0,0.2,0.167,0.259,0.417,0.273,0.0,0.2,0.063,0.333,0.273
0022401198,1610612746,LAC,LA,1627826,Ivica Zubac,Ivica,C,,42.000000:15,0.191,0.262,0.229,0.0,0.0,0.0,0.0,1.0,0.464,0.531,0.12,0.0,0.1,0.333,0.4,0.0,0.0,0.212
0022401198,1610612746,LAC,LA,1627739,Kris Dunn,Kris,G,,35.000000:22,0.07,0.111,0.069,0.375,0.2,0.0,0.0,0.0,0.053,0.043,0.286,0.125,0.3,0.0,0.0,0.364,0.067,0.122
0022401198,1610612746,LAC,LA,201935,James Harden,James,G,,48.000000:24,0.33,0.283,0.291,0.417,0.32,0.571,0.5,0.111,0.231,0.2,0.385,0.462,0.182,1.0,0.0,0.158,0.4,0.331
0022401198,1610612746,LAC,LA,1627884,Derrick Jones Jr.,Derrick,,,17.000000:44,0.102,0.083,0.107,0.0,0.067,0.167,0.286,0.2,0.267,0.25,0.143,0.0,0.0,0.0,0.0,0.1,0.167,0.083
